County,State,Population,HousingUnits,TotalArea,WaterArea,LandArea,DensityPop,DensityHousing
DeSoto County,Florida,32209.00,13608.00,639.50,2.23,637.27,50.50,21.40
Dixie County,Florida,13827.00,7362.00,863.66,159.65,704.01,19.60,10.50
Duval County,Florida,778879.00,329778.00,918.24,144.57,773.67,1006.70,426.30
Escambia County,Florida,294410.00,124647.00,875.57,213.21,662.35,444.50,188.20
Flagler County,Florida,49832.00,24452.00,570.76,85.77,485.00,102.70,50.40
Franklin County,Florida,11057.00,7180.00,1037.48,493.14,544.34,20.30,13.20
Gadsden County,Florida,45087.00,17703.00,528.49,12.35,516.13,87.40,34.30
Gilchrist County,Florida,14437.00,5906.00,355.47,6.58,348.89,41.40,16.90
Glades County,Florida,10576.00,5790.00,986.43,212.79,773.64,13.70,7.50
Gulf County,Florida,13332.00,7587.00,744.59,190.00,554.60,24.00,13.70
Hamilton County,Florida,13327.00,4966.00,519.31,4.45,514.86,25.90,9.60
Hardee County,Florida,26938.00,9820.00,638.33,1.03,637.30,42.30,15.40
Hendry County,Florida,36210.00,12294.00,1189.79,37.26,1152.53,31.40,10.70
Hernando County,Florida,130802.00,62727.00,589.08,110.77,478.31,273.50,131.10
Highlands County,Florida,87366.00,48846.00,1106.28,78.01,1028.27,85.00,47.50
Hillsborough County,Florida,998948.00,425962.00,1266.22,215.31,1050.91,950.60,405.30
Holmes County,Florida,18564.00,7998.00,488.71,6.26,482.45,38.50,16.60
Indian River County,Florida,112947.00,57902.00,616.92,113.69,503.23,224.40,115.10
Jackson County,Florida,46755.00,19490.00,954.58,38.94,915.64,51.10,21.30
Jefferson County,Florida,12902.00,5251.00,636.65,38.91,597.74,21.60,8.80
Lafayette County,Florida,7022.00,2660.00,547.92,5.08,542.84,12.90,4.90
Lake County,Florida,210528.00,102830.00,1156.40,203.25,953.15,220.90,107.90
Lee County,Florida,440888.00,245405.00,1211.89,408.26,803.63,548.60,305.40
Leon County,Florida,239452.00,103974.00,701.78,35.04,666.74,359.10,155.90
Levy County,Florida,34450.00,16570.00,1412.32,293.94,1118.38,30.80,14.80
Liberty County,Florida,7021.00,3156.00,843.16,7.29,835.87,8.40,3.80
Madison County,Florida,18733.00,7836.00,715.80,24.00,691.79,27.10,11.30
Manatee County,Florida,264002.00,138128.00,892.75,151.72,741.03,356.30,186.40
Marion County,Florida,258916.00,122663.00,1663.01,84.15,1578.86,164.00,77.70
Martin County,Florida,126731.00,65471.00,752.79,197.18,555.62,228.10,117.80
Miami-Dade County,Florida,2253362.00,852278.00,2431.26,485.19,1946.06,1157.90,437.90
Monroe County,Florida,79589.00,51617.00,3737.15,2740.24,996.91,79.80,51.80
Nassau County,Florida,57663.00,25917.00,725.86,74.30,651.55,88.50,39.80
Okaloosa County,Florida,170498.00,78593.00,1082.00,146.37,935.63,182.20,84.00
Okeechobee County,Florida,35910.00,15504.00,891.57,117.63,773.94,46.40,20.00
Orange County,Florida,896344.00,361349.00,1004.19,96.74,907.45,987.80,398.20
Osceola County,Florida,172493.00,72293.00,1506.35,184.45,1321.90,130.50,54.70
Palm Beach County,Florida,1131184.00,556428.00,2386.33,412.22,1974.11,573.00,281.90
Pasco County,Florida,344765.00,173717.00,867.95,123.10,744.85,462.90,233.20
Pinellas County,Florida,921482.00,481573.00,607.67,327.75,279.92,3292.00,1720.40
Polk County,Florida,483924.00,226376.00,2009.99,135.60,1874.38,258.20,120.80
Putnam County,Florida,70423.00,33870.00,827.16,105.27,721.89,97.60,46.90
St. Johns County,Florida,123135.00,58008.00,821.43,212.42,609.01,202.20,95.20
St. Lucie County,Florida,192695.00,91262.00,688.08,115.63,572.45,336.60,159.40
Santa Rosa County,Florida,117743.00,49119.00,1173.57,156.65,1016.93,115.80,48.30
Sarasota County,Florida,325957.00,182467.00,725.18,153.63,571.55,570.30,319.20
Seminole County,Florida,365196.00,147079.00,344.87,36.67,308.20,1184.90,477.20
Sumter County,Florida,53345.00,25195.00,580.31,34.58,545.73,97.70,46.20
Suwannee County,Florida,34844.00,15679.00,691.90,4.26,687.64,50.70,22.80
Taylor County,Florida,19256.00,9646.00,1232.01,190.10,1041.91,18.50,9.30
Union County,Florida,13442.00,3736.00,249.71,9.42,240.29,55.90,15.50
Volusia County,Florida,443343.00,211938.00,1432.44,329.19,1103.25,401.90,192.10
Wakulla County,Florida,22863.00,9820.00,735.74,129.08,606.66,37.70,16.20
Walton County,Florida,40601.00,29083.00,1238.03,180.47,1057.56,38.40,27.50
Washington County,Florida,20973.00,9503.00,615.79,35.86,579.93,36.20,16.40
Appling County,Georgia,17419.00,7854.00,512.11,3.61,508.51,34.30,15.40
Atkinson County,Georgia,7609.00,3171.00,344.10,6.05,338.04,22.50,9.40
Bacon County,Georgia,10103.00,4464.00,285.92,0.97,284.95,35.50,15.70
Baker County,Georgia,4074.00,1740.00,349.17,5.95,343.22,11.90,5.10
Baldwin County,Georgia,44700.00,17173.00,267.50,9.05,258.45,173.00,66.40
Banks County,Georgia,14422.00,5808.00,233.87,0.20,233.67,61.70,24.90
Barrow County,Georgia,46144.00,17304.00,162.84,0.67,162.17,284.50,106.70
Bartow County,Georgia,76019.00,28751.00,470.11,10.69,459.43,165.50,62.60
Ben Hill County,Georgia,17484.00,7623.00,254.03,2.23,251.79,69.40,30.30
Berrien County,Georgia,16235.00,7100.00,457.78,5.37,452.41,35.90,15.70
Bibb County,Georgia,153887.00,67194.00,255.13,5.17,249.96,615.60,268.80
Bleckley County,Georgia,11666.00,4866.00,219.14,1.74,217.39,53.70,22.40
Brantley County,Georgia,14629.00,6490.00,447.42,3.02,444.40,32.90,14.60
Brooks County,Georgia,16450.00,7118.00,497.77,4.15,493.62,33.30,14.40
Bryan County,Georgia,23417.00,8675.00,454.49,12.78,441.71,53.00,19.60
Bulloch County,Georgia,55983.00,22742.00,688.84,6.77,682.07,82.10,33.30
Burke County,Georgia,22243.00,8842.00,834.99,4.52,830.47,26.80,10.60
Butts County,Georgia,19522.00,7380.00,190.01,3.40,186.61,104.60,39.50
Calhoun County,Georgia,6320.00,2305.00,283.57,3.39,280.18,22.60,8.20
Camden County,Georgia,43664.00,16958.00,782.52,152.61,629.91,69.30,26.90
Candler County,Georgia,9577.00,3893.00,248.81,1.94,246.88,38.80,15.80
Carroll County,Georgia,87268.00,34067.00,503.83,4.89,498.93,174.90,68.30
Catoosa County,Georgia,53282.00,21794.00,162.66,0.44,162.23,328.40,134.30
Charlton County,Georgia,10282.00,3859.00,782.97,2.20,780.77,13.20,4.90
Chatham County,Georgia,232048.00,99683.00,632.28,194.17,438.11,529.70,227.50
Chattahoochee County,Georgia,14882.00,3316.00,251.17,2.40,248.77,59.80,13.30
Chattooga County,Georgia,25470.00,10677.00,313.55,0.23,313.33,81.30,34.10
Cherokee County,Georgia,141903.00,51937.00,433.99,10.31,423.68,334.90,122.60
Clarke County,Georgia,101489.00,42126.00,121.28,0.49,120.79,840.20,348.80
Clay County,Georgia,3357.00,1925.00,216.99,21.79,195.21,17.20,9.90
Clayton County,Georgia,236517.00,86461.00,144.28,1.66,142.62,1658.40,606.20
Clinch County,Georgia,6878.00,2837.00,824.17,14.88,809.29,8.50,3.50
Cobb County,Georgia,607751.00,237522.00,344.51,4.36,340.15,1786.70,698.30
Coffee County,Georgia,37413.00,15610.00,602.61,3.72,598.90,62.50,26.10
Colquitt County,Georgia,42053.00,17554.00,556.55,4.28,552.27,76.10,31.80
Columbia County,Georgia,89288.00,33321.00,307.78,17.76,290.01,307.90,114.90
Cook County,Georgia,15771.00,6558.00,233.22,4.20,229.02,68.90,28.60
Coweta County,Georgia,89215.00,33182.00,445.98,3.36,442.62,201.60,75.00
Crawford County,Georgia,12495.00,4872.00,326.45,1.45,325.01,38.40,15.00
Crisp County,Georgia,21996.00,9559.00,281.20,7.38,273.82,80.30,34.90
Dade County,Georgia,15154.00,6224.00,174.16,0.18,173.98,87.10,35.80
Dawson County,Georgia,15999.00,7163.00,213.93,2.90,211.04,75.80,33.90
Decatur County,Georgia,28240.00,11968.00,623.16,26.36,596.80,47.30,20.10
DeKalb County,Georgia,665865.00,261231.00,270.91,2.70,268.21,2482.70,974.00
Dodge County,Georgia,19171.00,8186.00,503.17,2.88,500.29,38.30,16.40
Dooly County,Georgia,11525.00,4499.00,397.07,4.19,392.88,29.30,11.50
Dougherty County,Georgia,96065.00,39656.00,334.64,5.04,329.60,291.50,120.30
Douglas County,Georgia,92174.00,34825.00,200.26,0.96,199.30,462.50,174.70
Early County,Georgia,12354.00,5338.00,516.27,5.04,511.23,24.20,10.40
Echols County,Georgia,3754.00,1482.00,420.80,16.67,404.13,9.30,3.70
Effingham County,Georgia,37535.00,14169.00,482.82,3.40,479.41,78.30,29.60
Elbert County,Georgia,20511.00,9136.00,374.54,5.78,368.76,55.60,24.80
Emanuel County,Georgia,21837.00,9419.00,690.33,4.54,685.79,31.80,13.70
Evans County,Georgia,10495.00,4381.00,186.88,1.96,184.92,56.80,23.70
Fannin County,Georgia,19798.00,11134.00,391.43,5.69,385.74,51.30,28.90
Fayette County,Georgia,91263.00,32726.00,199.25,2.20,197.05,463.10,166.10
Floyd County,Georgia,90565.00,36615.00,518.46,5.33,513.13,176.50,71.40
Forsyth County,Georgia,98407.00,36505.00,247.37,21.57,225.80,435.80,161.70
Franklin County,Georgia,20285.00,9303.00,266.37,3.07,263.29,77.00,35.30
Fulton County,Georgia,816006.00,348632.00,534.61,5.95,528.66,1543.50,659.50
Gilmer County,Georgia,23456.00,11924.00,431.83,5.14,426.69,55.00,27.90
Glascock County,Georgia,2556.00,1192.00,144.45,0.31,144.14,17.70,8.30
Glynn County,Georgia,67568.00,32636.00,585.17,162.80,422.37,160.00,77.30
Gordon County,Georgia,44104.00,17145.00,358.01,2.48,355.54,124.00,48.20
Grady County,Georgia,23659.00,9991.00,460.34,2.22,458.12,51.60,21.80
Greene County,Georgia,14406.00,6653.00,406.24,17.96,388.28,37.10,17.10
Gwinnett County,Georgia,588448.00,209682.00,436.72,3.99,432.73,1359.90,484.60
Habersham County,Georgia,35902.00,14634.00,279.20,1.03,278.17,129.10,52.60
Hall County,Georgia,139277.00,51046.00,429.19,35.53,393.66,353.80,129.70
Hancock County,Georgia,10076.00,4287.00,478.76,5.48,473.28,21.30,9.10
Haralson County,Georgia,25690.00,10719.00,283.16,1.05,282.11,91.10,38.00
Harris County,Georgia,23695.00,10288.00,472.93,9.24,463.69,51.10,22.20
Hart County,Georgia,22997.00,11111.00,256.42,24.21,232.21,99.00,47.80
Heard County,Georgia,11012.00,4512.00,301.08,5.06,296.03,37.20,15.20
Henry County,Georgia,119341.00,43166.00,324.48,1.77,322.71,369.80,133.80
Houston County,Georgia,110765.00,44509.00,379.83,3.08,376.75,294.00,118.10
Irwin County,Georgia,9931.00,4149.00,362.73,5.92,356.81,27.80,11.60
Jackson County,Georgia,41589.00,16226.00,343.00,0.64,342.36,121.50,47.40
Jasper County,Georgia,11426.00,4806.00,373.58,3.16,370.42,30.80,13.00
Jeff Davis County,Georgia,12684.00,5581.00,335.42,2.04,333.38,38.00,16.70
Jefferson County,Georgia,17266.00,7221.00,529.56,1.91,527.65,32.70,13.70
Jenkins County,Georgia,8575.00,3907.00,352.45,2.64,349.81,24.50,11.20
Johnson County,Georgia,8560.00,3634.00,306.52,2.26,304.26,28.10,11.90
Jones County,Georgia,23639.00,9272.00,395.39,1.64,393.75,60.00,23.50
Lamar County,Georgia,15912.00,6145.00,185.79,0.97,184.82,86.10,33.20
Lanier County,Georgia,7241.00,3011.00,199.83,13.01,186.82,38.80,16.10
Laurens County,Georgia,44874.00,19687.00,818.51,6.24,812.27,55.20,24.20
Lee County,Georgia,24757.00,8813.00,362.01,6.24,355.77,69.60,24.80
Liberty County,Georgia,61610.00,21977.00,602.52,83.47,519.05,118.70,42.30
Lincoln County,Georgia,8348.00,4514.00,257.28,46.19,211.09,39.50,21.40
Long County,Georgia,10304.00,4232.00,403.49,2.57,400.92,25.70,10.60
Lowndes County,Georgia,92115.00,36551.00,510.63,6.41,504.22,182.70,72.50
Lumpkin County,Georgia,21016.00,8263.00,284.87,0.40,284.47,73.90,29.00
McDuffie County,Georgia,21231.00,8916.00,266.30,6.52,259.77,81.70,34.30
McIntosh County,Georgia,10847.00,5735.00,574.53,141.08,433.45,25.00,13.20
Macon County,Georgia,14074.00,5495.00,405.95,2.67,403.28,34.90,13.60
Madison County,Georgia,25730.00,10520.00,285.57,1.69,283.88,90.60,37.10
Marion County,Georgia,7144.00,3130.00,367.49,0.49,367.00,19.50,8.50
Meriwether County,Georgia,22534.00,9211.00,505.34,2.06,503.28,44.80,18.30
Miller County,Georgia,6383.00,2770.00,283.72,0.68,283.05,22.60,9.80
Mitchell County,Georgia,23932.00,8880.00,513.81,1.85,511.96,46.70,17.30
Monroe County,Georgia,21757.00,8425.00,397.80,2.17,395.63,55.00,21.30
Montgomery County,Georgia,8270.00,3492.00,247.32,1.99,245.33,33.70,14.20
Morgan County,Georgia,15457.00,6128.00,354.60,4.96,349.64,44.20,17.50
Murray County,Georgia,36506.00,14320.00,346.88,2.47,344.41,106.00,41.60
Muscogee County,Georgia,186291.00,76182.00,221.00,4.74,216.26,861.40,352.30
Newton County,Georgia,62001.00,23033.00,279.19,2.76,276.43,224.30,83.30
Oconee County,Georgia,26225.00,9528.00,186.14,0.44,185.70,141.20,51.30
Oglethorpe County,Georgia,12635.00,5368.00,442.17,1.06,441.11,28.60,12.20
Paulding County,Georgia,81678.00,29274.00,315.06,1.63,313.43,260.60,93.40
Peach County,Georgia,23668.00,9093.00,151.46,0.40,151.06,156.70,60.20
Pickens County,Georgia,22983.00,10687.00,232.78,0.65,232.13,99.00,46.00
Pierce County,Georgia,15636.00,6719.00,343.90,0.65,343.25,45.60,19.60
Pike County,Georgia,13688.00,5068.00,219.43,1.06,218.37,62.70,23.20
Polk County,Georgia,38127.00,15059.00,312.13,0.99,311.14,122.50,48.40
Pulaski County,Georgia,9588.00,3944.00,249.89,2.47,247.42,38.80,15.90
Putnam County,Georgia,18812.00,10319.00,360.63,16.10,344.53,54.60,30.00
Quitman County,Georgia,2598.00,1773.00,160.92,9.38,151.54,17.10,11.70
Rabun County,Georgia,15050.00,10210.00,376.99,5.94,371.05,40.60,27.50
Randolph County,Georgia,7791.00,3402.00,430.89,1.64,429.25,18.20,7.90
Richmond County,Georgia,199775.00,82312.00,328.45,4.41,324.04,616.50,254.00
Rockdale County,Georgia,70111.00,25082.00,132.13,1.50,130.63,536.70,192.00
Schley County,Georgia,3766.00,1612.00,167.82,0.21,167.61,22.50,9.60
Screven County,Georgia,15374.00,6853.00,655.59,7.14,648.44,23.70,10.60
Seminole County,Georgia,9369.00,4742.00,256.56,18.52,238.04,39.40,19.90
Spalding County,Georgia,58417.00,23001.00,199.60,1.65,197.95,295.10,116.20
Stephens County,Georgia,25435.00,11652.00,184.23,4.97,179.26,141.90,65.00
Stewart County,Georgia,5252.00,2354.00,463.23,4.53,458.70,11.40,5.10
Sumter County,Georgia,33200.00,13700.00,492.54,7.26,485.28,68.40,28.20
Talbot County,Georgia,6498.00,2871.00,394.74,1.52,393.21,16.50,7.30
Taliaferro County,Georgia,2077.00,1085.00,195.47,0.08,195.39,10.60,5.60
Tattnall County,Georgia,22305.00,8578.00,488.22,4.53,483.69,46.10,17.70
Taylor County,Georgia,8815.00,3978.00,379.61,2.17,377.44,23.40,10.50
Telfair County,Georgia,11794.00,5083.00,444.08,2.99,441.09,26.70,11.50
Terrell County,Georgia,10970.00,4460.00,337.63,2.26,335.37,32.70,13.30
Thomas County,Georgia,42737.00,18285.00,552.08,3.78,548.30,77.90,33.30
Tift County,Georgia,38407.00,15411.00,268.86,3.81,265.05,144.90,58.10
Toombs County,Georgia,26067.00,11371.00,368.64,1.99,366.65,71.10,31.00
Towns County,Georgia,9319.00,6282.00,172.01,5.35,166.66,55.90,37.70
Treutlen County,Georgia,6854.00,2865.00,202.19,1.53,200.66,34.20,14.30
Troup County,Georgia,58779.00,23824.00,445.96,32.06,413.90,142.00,57.60
Turner County,Georgia,9504.00,3916.00,289.85,3.83,286.03,33.20,13.70
Twiggs County,Georgia,10590.00,4291.00,362.95,2.66,360.29,29.40,11.90
Union County,Georgia,17289.00,10001.00,329.02,6.47,322.55,53.60,31.00
Upson County,Georgia,27597.00,11616.00,327.64,2.15,325.48,84.80,35.70
Walker County,Georgia,61053.00,25577.00,447.03,0.45,446.58,136.70,57.30
Walton County,Georgia,60687.00,22500.00,330.05,0.87,329.18,184.40,68.40
Ware County,Georgia,35483.00,15831.00,906.31,4.02,902.29,39.30,17.50
Warren County,Georgia,6336.00,2767.00,286.74,1.22,285.52,22.20,9.70
Washington County,Georgia,21176.00,8327.00,684.37,4.03,680.34,31.10,12.20
Wayne County,Georgia,26565.00,10827.00,648.80,4.13,644.66,41.20,16.80
Webster County,Georgia,2390.00,1115.00,210.26,0.72,209.54,11.40,5.30
Wheeler County,Georgia,6179.00,2447.00,300.14,2.42,297.72,20.80,8.20
White County,Georgia,19944.00,9454.00,242.16,0.58,241.58,82.60,39.10
Whitfield County,Georgia,83525.00,30722.00,290.65,0.66,289.99,288.00,105.90
Wilcox County,Georgia,8577.00,3320.00,383.30,3.00,380.30,22.60,8.70
Wilkes County,Georgia,10687.00,5022.00,474.00,2.62,471.37,22.70,10.70
Wilkinson County,Georgia,10220.00,4449.00,452.01,5.45,446.56,22.90,10.00
Worth County,Georgia,21967.00,9086.00,574.58,4.86,569.73,38.60,15.90
Hawaii County,Hawaii,148677.00,62674.00,5086.70,1058.69,4028.02,36.90,15.60
Honolulu County,Hawaii,876156.00,315988.00,2126.85,1527.08,599.77,1460.80,526.90
Kalawao County,Hawaii,147.00,172.00,52.33,39.12,13.21,11.10,13.00
Kauai County,Hawaii,58463.00,25331.00,1266.37,643.93,622.44,93.90,40.70
Maui County,Hawaii,128094.00,56377.00,2398.74,1239.54,1159.20,110.50,48.60
Ada County,Idaho,300904.00,118516.00,1060.33,5.34,1054.99,285.20,112.30
Adams County,Idaho,3476.00,1982.00,1370.00,5.43,1364.58,2.50,1.50
Bannock County,Idaho,75565.00,29102.00,1147.46,34.16,1113.30,67.90,26.10
Bear Lake County,Idaho,6411.00,3268.00,1049.44,78.05,971.38,6.60,3.40
Benewah County,Idaho,9171.00,4238.00,783.98,7.91,776.07,11.80,5.50
Bingham County,Idaho,41735.00,14303.00,2120.24,25.51,2094.73,19.90,6.80
Blaine County,Idaho,18991.00,12186.00,2661.02,16.24,2644.78,7.20,4.60
Boise County,Idaho,6670.00,4349.00,1906.76,4.30,1902.46,3.50,2.30
Bonner County,Idaho,36835.00,19646.00,1919.59,181.92,1737.67,21.20,11.30
Bonneville County,Idaho,82522.00,30484.00,1900.65,32.18,1868.48,44.20,16.30
Boundary County,Idaho,9871.00,4095.00,1278.21,9.40,1268.81,7.80,3.20
Butte County,Idaho,2899.00,1290.00,2233.59,0.74,2232.85,1.30,0.60
Camas County,Idaho,991.00,601.00,1079.02,4.06,1074.96,0.90,0.60
Canyon County,Idaho,131441.00,47965.00,603.51,13.79,589.72,222.90,81.30
Caribou County,Idaho,7304.00,3188.00,1798.62,32.61,1766.01,4.10,1.80
Cassia County,Idaho,21416.00,7862.00,2580.31,13.86,2566.45,8.30,3.10
Clark County,Idaho,1022.00,521.00,1765.21,0.58,1764.63,0.60,0.30
Clearwater County,Idaho,8930.00,4144.00,2488.10,26.70,2461.40,3.60,1.70
Custer County,Idaho,4342.00,2983.00,4936.79,11.34,4925.45,0.90,0.60
Elmore County,Idaho,29130.00,10527.00,3100.51,22.93,3077.57,9.50,3.40
Franklin County,Idaho,11329.00,3872.00,668.36,2.92,665.43,17.00,5.80
Fremont County,Idaho,11819.00,6890.00,1895.59,28.84,1866.76,6.30,3.70
Gem County,Idaho,15181.00,5888.00,565.75,3.17,562.58,27.00,10.50
Gooding County,Idaho,14155.00,5505.00,733.84,3.06,730.78,19.40,7.50
Idaho County,Idaho,15511.00,7537.00,8502.48,17.59,8484.88,1.80,0.90
Jefferson County,Idaho,19155.00,6287.00,1105.55,10.47,1095.08,17.50,5.70
Jerome County,Idaho,18342.00,6713.00,601.87,2.03,599.84,30.60,11.20
Kootenai County,Idaho,108685.00,46607.00,1315.69,70.57,1245.12,87.30,37.40
Latah County,Idaho,34935.00,13838.00,1076.89,0.24,1076.65,32.40,12.90
Lemhi County,Idaho,7806.00,4154.00,4569.50,5.35,4564.16,1.70,0.90
Lewis County,Idaho,3747.00,1795.00,479.81,0.77,479.04,7.80,3.70
Lincoln County,Idaho,4044.00,1651.00,1205.86,0.33,1205.53,3.40,1.40
Madison County,Idaho,27467.00,7630.00,473.36,1.84,471.52,58.30,16.20
Minidoka County,Idaho,20174.00,7498.00,762.98,3.36,759.62,26.60,9.90
Nez Perce County,Idaho,37410.00,16203.00,856.36,7.28,849.08,44.10,19.10
Oneida County,Idaho,4125.00,1755.00,1201.61,1.28,1200.33,3.40,1.50
Owyhee County,Idaho,10644.00,4452.00,7696.71,18.72,7677.98,1.40,0.60
Payette County,Idaho,20578.00,7949.00,410.19,2.67,407.52,50.50,19.50
Power County,Idaho,7538.00,2844.00,1442.60,37.03,1405.57,5.40,2.00
Shoshone County,Idaho,13771.00,7057.00,2635.50,1.59,2633.91,5.20,2.70
Teton County,Idaho,5999.00,2632.00,450.57,0.21,450.36,13.30,5.80
Twin Falls County,Idaho,64284.00,25595.00,1928.47,3.44,1925.03,33.40,13.30
Valley County,Idaho,7651.00,8084.00,3733.66,55.84,3677.82,2.10,2.20
Washington County,Idaho,9977.00,4138.00,1473.54,17.23,1456.32,6.90,2.80
Adams County,Illinois,68277.00,29386.00,871.28,14.64,856.63,79.70,34.30
Alexander County,Illinois,9590.00,4591.00,252.54,16.16,236.38,40.60,19.40
Bond County,Illinois,17633.00,6690.00,382.67,2.46,380.20,46.40,17.60
Boone County,Illinois,41786.00,15414.00,281.94,0.68,281.27,148.60,54.80
Brown County,Illinois,6950.00,2456.00,307.24,1.59,305.65,22.70,8.00
Bureau County,Illinois,35503.00,15331.00,873.30,4.74,868.56,40.90,17.70
Calhoun County,Illinois,5084.00,2681.00,283.69,29.87,253.82,20.00,10.60
Carroll County,Illinois,16674.00,7945.00,465.77,21.56,444.21,37.50,17.90
Cass County,Illinois,13695.00,5784.00,383.73,7.83,375.90,36.40,15.40
